2022-11-15 06:38:30 status installed xz-utils:amd64 5.2.5-2.1~deb11u1
2022-11-15 06:38:30 configure zstd:amd64 1.4.8+dfsg-2.1 <none>
2022-11-15 06:38:30 status unpacked zstd:amd64 1.4.8+dfsg-2.1
2022-11-15 06:38:30 status half-configured zstd:amd64 1.4.8+dfsg-2.1
2022-11-15 06:38:30 status installed zstd:amd64 1.4.8+dfsg-2.1
2022-11-15 06:38:30 configure libnss-wrapper:amd64 1.1.11-1 <none>
2022-11-15 06:38:30 status unpacked libnss-wrapper:amd64 1.1.11-1
2022-11-15 06:38:30 status half-configured libnss-wrapper:amd64 1.1.11-1
2022-11-15 06:38:30 status installed libnss-wrapper:amd64 1.1.11-1
2022-11-15 06:38:37 startup archives unpack
2022-11-15 06:38:37 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2022-11-15 06:38:37 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-11-15 06:38:38 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-11-15 06:38:38 install libgdbm6:amd64 <none> 1.19-2
2022-11-15 06:38:38 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:38 status half-installed libgdbm6:amd64 1.19-2
2022-11-15 06:38:38 status unpacked libgdbm6:amd64 1.19-2
2022-11-15 06:38:38 install libgdbm-compat4:amd64 <none> 1.19-2
2022-11-15 06:38:38 status half-installed libgdbm-compat4:amd64 1.19-2
2022-11-15 06:38:38 status unpacked libgdbm-compat4:amd64 1.19-2
2022-11-15 06:38:38 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2022-11-15 06:38:38 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2022-11-15 06:38:38 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-11-15 06:38:38 install perl:amd64 <none> 5.32.1-4+deb11u2
2022-11-15 06:38:38 status half-installed perl:amd64 5.32.1-4+deb11u2
2022-11-15 06:38:38 status unpacked perl:amd64 5.32.1-4+deb11u2
2022-11-15 06:38:38 install libjson-perl:all <none> 4.03000-1
2022-11-15 06:38:38 status half-installed libjson-perl:all 4.03000-1
2022-11-15 06:38:38 status unpacked libjson-perl:all 4.03000-1
2022-11-15 06:38:38 install netbase:all <none> 6.3
2022-11-15 06:38:38 status half-installed netbase:all 6.3
2022-11-15 06:38:38 status unpacked netbase:all 6.3
2022-11-15 06:38:38 install postgresql-client-common:all <none> 246.pgdg110+1
2022-11-15 06:38:38 status half-installed postgresql-client-common:all 246.pgdg110+1
2022-11-15 06:38:38 status unpacked postgresql-client-common:all 246.pgdg110+1
2022-11-15 06:38:38 install openssl:amd64 <none> 1.1.1n-0+deb11u3
2022-11-15 06:38:38 status half-installed openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:38 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:38 install ssl-cert:all <none> 1.1.0+nmu1
2022-11-15 06:38:38 status half-installed ssl-cert:all 1.1.0+nmu1
2022-11-15 06:38:38 status unpacked ssl-cert:all 1.1.0+nmu1
2022-11-15 06:38:38 install sensible-utils:all <none> 0.0.14
2022-11-15 06:38:38 status half-installed sensible-utils:all 0.0.14
2022-11-15 06:38:39 status unpacked sensible-utils:all 0.0.14
2022-11-15 06:38:39 install ucf:all <none> 3.0043
2022-11-15 06:38:39 status half-installed ucf:all 3.0043
2022-11-15 06:38:39 status unpacked ucf:all 3.0043
2022-11-15 06:38:39 install postgresql-common:all <none> 246.pgdg110+1
2022-11-15 06:38:39 status half-installed postgresql-common:all 246.pgdg110+1
2022-11-15 06:38:39 status unpacked postgresql-common:all 246.pgdg110+1
2022-11-15 06:38:39 startup packages configure
2022-11-15 06:38:39 configure perl-modules-5.32:all 5.32.1-4+deb11u2 <none>
2022-11-15 06:38:39 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-11-15 06:38:39 status half-configured perl-modules-5.32:all 5.32.1-4+deb11u2
2022-11-15 06:38:39 status installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-11-15 06:38:39 configure sensible-utils:all 0.0.14 <none>
2022-11-15 06:38:39 status unpacked sensible-utils:all 0.0.14
2022-11-15 06:38:39 status half-configured sensible-utils:all 0.0.14
2022-11-15 06:38:39 status installed sensible-utils:all 0.0.14
2022-11-15 06:38:39 configure netbase:all 6.3 <none>
2022-11-15 06:38:39 status unpacked netbase:all 6.3
2022-11-15 06:38:39 status half-configured netbase:all 6.3
2022-11-15 06:38:39 status installed netbase:all 6.3
2022-11-15 06:38:39 configure openssl:amd64 1.1.1n-0+deb11u3 <none>
2022-11-15 06:38:39 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:39 status half-configured openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:39 status installed openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:39 configure libgdbm6:amd64 1.19-2 <none>
2022-11-15 06:38:39 status unpacked libgdbm6:amd64 1.19-2
2022-11-15 06:38:39 status half-configured libgdbm6:amd64 1.19-2
2022-11-15 06:38:39 status installed libgdbm6:amd64 1.19-2
2022-11-15 06:38:39 configure ssl-cert:all 1.1.0+nmu1 <none>
2022-11-15 06:38:39 status unpacked ssl-cert:all 1.1.0+nmu1
2022-11-15 06:38:39 status half-configured ssl-cert:all 1.1.0+nmu1
2022-11-15 06:38:39 status installed ssl-cert:all 1.1.0+nmu1
2022-11-15 06:38:39 configure libgdbm-compat4:amd64 1.19-2 <none>
2022-11-15 06:38:39 status unpacked libgdbm-compat4:amd64 1.19-2
2022-11-15 06:38:39 status half-configured libgdbm-compat4:amd64 1.19-2
2022-11-15 06:38:39 status installed libgdbm-compat4:amd64 1.19-2
2022-11-15 06:38:39 configure ucf:all 3.0043 <none>
2022-11-15 06:38:39 status unpacked ucf:all 3.0043
2022-11-15 06:38:39 status half-configured ucf:all 3.0043
2022-11-15 06:38:39 status installed ucf:all 3.0043
2022-11-15 06:38:39 configure libperl5.32:amd64 5.32.1-4+deb11u2 <none>
2022-11-15 06:38:39 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-11-15 06:38:39 status half-configured libperl5.32:amd64 5.32.1-4+deb11u2
2022-11-15 06:38:39 status installed libperl5.32:amd64 5.32.1-4+deb11u2
2022-11-15 06:38:39 configure perl:amd64 5.32.1-4+deb11u2 <none>
2022-11-15 06:38:39 status unpacked perl:amd64 5.32.1-4+deb11u2
2022-11-15 06:38:39 status half-configured perl:amd64 5.32.1-4+deb11u2
2022-11-15 06:38:39 status installed perl:amd64 5.32.1-4+deb11u2
2022-11-15 06:38:39 configure libjson-perl:all 4.03000-1 <none>
2022-11-15 06:38:39 status unpacked libjson-perl:all 4.03000-1
2022-11-15 06:38:39 status half-configured libjson-perl:all 4.03000-1
2022-11-15 06:38:39 status installed libjson-perl:all 4.03000-1
2022-11-15 06:38:39 configure postgresql-client-common:all 246.pgdg110+1 <none>
2022-11-15 06:38:39 status unpacked postgresql-client-common:all 246.pgdg110+1
2022-11-15 06:38:39 status half-configured postgresql-client-common:all 246.pgdg110+1
2022-11-15 06:38:39 status installed postgresql-client-common:all 246.pgdg110+1
2022-11-15 06:38:39 configure postgresql-common:all 246.pgdg110+1 <none>
2022-11-15 06:38:39 status unpacked postgresql-common:all 246.pgdg110+1
2022-11-15 06:38:39 status half-configured postgresql-common:all 246.pgdg110+1
2022-11-15 06:38:40 status installed postgresql-common:all 246.pgdg110+1
2022-11-15 06:38:40 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2022-11-15 06:38:40 status half-configured libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:40 status installed libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:42 startup archives unpack
